,A00200,A00300,A00600,A00650,A00900,A02300,A03240,A01400,A03270,A03210,A07180
41,0.7282260624797394,0.3120147839370344,0.9494157732216051,0.9682210203689877,0.6333779592400554,1.5465924909041855,2.273539491709707,1.0375999790196373,0.2307905214307336,1.2994211949199275,0.14439941453029664
42,0.8075588835649175,0.31793908344438276,1.8998512742472187,1.7519288116376104,0.9497533715694562,1.6238069971610696,7.20581628935923,0.5204310407708689,0.1860095167531755,2.4297710573486015,0.22903117521205507
44,0.7468607009390554,0.3102014454319559,1.7166521231723033,2.122994416048566,1.9239147934001275,1.6284491565639527,17.198835781926753,0.9532202156793512,0.19198971258710737,1.551030669963115,0.1553263040053717
45,0.6882153883763875,0.22133734685044143,2.4665791437567326,2.6790019627851818,0.8177898136385661,0.9143370521363684,1.0635973283813545,1.0987668149691208,0.12263479980457345,1.2920382501824375,0.32871311667766645
46,0.7876143939994347,0.5465566798926182,1.8244713273589523,1.6134626501931688,0.4331516364652813,1.3973204242616446,17.384898121615556,0.39560117966473807,0.3289641202624491,2.918411195533468,0.33419763458580476
47,0.709182329907276,0.36018051317737665,1.3628511446097336,1.4930836502490783,0.5231876165769417,1.0342707550309511,1.399674736961895,0.38926863684610724,0.15072436004795334,0.9104015377389969,0.21298973910220687
48,0.8740135237257229,0.5468925605200022,1.9886883394254793,1.8401186889205734,0.5970857781568824,1.3647666729097827,4.2344444330532705,0.7705981423630404,0.14117300686291276,1.0844586558749876,0.24091080683084432
49,0.7116081758776036,0.33617658109209714,0.8423595021436213,0.9585690953633931,0.6498617671844094,1.1303428161496132,15.522501848589089,0.49603772517807776,0.15613901511433678,0.9877381592479927,0.15091651217899874
51,0.8297146220381798,0.3263391476029081,2.362625281794908,2.3891468249715575,0.8289286822142977,2.410990779848022,2.8955106257073764,0.968000515056394,0.1764374667474351,1.5239837489322836,0.24726043571105463
50,0.7641847571762831,0.3460953734791045,1.9350279010644296,1.8549217052925648,0.6001751064343951,1.5965460338074917,2.298839979617953,0.8919273239750029,0.2091202582747659,1.9646667896648702,0.275287743643219
53,0.7659789478495228,0.4732987866500611,1.404610555142492,1.4383867612390062,0.751690232157706,1.3623397480890578,10.55744171460702,1.1348521279078487,0.21967557129482249,1.1299901741142957,0.16193985839570327
55,0.8313040924956363,0.2541063683166482,1.8956418780564943,2.013721992067273,0.54166892980172,1.908344533739531,27.301079788189618,0.7919449654387359,0.1656206662403788,1.816433333907448,0.19904363362933214
